Reaction,FSR,RegulationStatus
1,2.01803779486957,Upregulated
4,0.0972268496442806,Downregulated
6,199.578913454805,Upregulated
8,3.67699838148618,Upregulated
9,2.61516252380653,Upregulated
12,0.110727579764474,Downregulated
18,0.089525936434309,Downregulated
21,3.85400130997211,Upregulated
24,12.3641692709825,Upregulated
25,3.96250973736952,Upregulated
28,3.69819087509693,Upregulated
30,0.362370981424493,Downregulated
32,3.92992564651626,Upregulated
36,3.72685715587916,Upregulated
37,6.36919135087351,Upregulated
38,42.7899432658521,Upregulated
39,40.6825802422736,Upregulated
41,0.106593020847158,Downregulated
44,0.287870042758128,Downregulated
45,0.0789821970213485,Downregulated
49,5.50903964907687,Upregulated
52,40.2098842672716,Upregulated
54,7.30494056072229,Upregulated
55,7.91447928524923,Upregulated
60,2.88938334498991,Upregulated
61,4.14957446865047,Upregulated
64,5.77665975902262,Upregulated
65,5.75208466828733,Upregulated
66,11.1531599360201,Upregulated
67,20.9880194133324,Upregulated
69,19.8719692066351,Upregulated
74,0.146068043552843,Downregulated
76,4.10300857599253,Upregulated
78,4.23291351307773,Upregulated
82,0.154810409866228,Downregulated
88,0.437989146696612,Downregulated
92,7.08292986303279,Upregulated
97,13.5832175550677,Upregulated
99,4044.59143442842,Upregulated
100,250.538322206476,Upregulated
101,46.1431664904849,Upregulated
102,43.923270261751,Upregulated
103,43.9232709188093,Upregulated
105,2.12675041114283,Upregulated
114,0.0194289282651228,Downregulated
125,68.1323755295112,Upregulated
132,6.60927833620257,Upregulated
135,25.4509092192548,Upregulated
141,7.68218449375006,Upregulated
142,2.17743345133473,Upregulated
145,4.90804844959885,Upregulated
148,23.9959725553882,Upregulated
157,4.73514925373882,Upregulated
162,749.528634121917,Upregulated
187,0.440886557502316,Downregulated
189,6.02513877056525,Upregulated
190,6.02513878465234,Upregulated
191,6155.147988341,Upregulated
192,10.5684893379974,Upregulated
193,4.8984947653281,Upregulated
195,0.0367350820204489,Downregulated
196,33.0565512207943,Upregulated
197,22.3564427977932,Upregulated
206,7.24791881729616,Upregulated
216,1262.67627886426,Upregulated
219,0.218562829363673,Downregulated
223,0.20233608144311,Downregulated
226,326.755398283527,Upregulated
229,42.5210763977039,Upregulated
231,6435.75328898538,Upregulated
232,770.737150844306,Upregulated
234,109.940609045766,Upregulated
236,66.2337205214949,Upregulated
237,118.101865705863,Upregulated
238,130.087644166927,Upregulated
244,6049.92010340466,Upregulated
247,66.2337172003644,Upregulated
250,72.8228384585174,Upregulated
252,72.8781838135857,Upregulated
253,72.7131658754419,Upregulated
254,73.3761308977425,Upregulated
256,461.619899522032,Upregulated
266,0.089933331586964,Downregulated
268,0.355834666959033,Downregulated
269,0.0869483529146173,Downregulated
277,0.471140064519284,Downregulated
280,0.128990103060555,Downregulated
295,0.0994321079925421,Downregulated
296,0.174550687989422,Downregulated
298,0.0137701421170742,Downregulated
299,605.882161451582,Upregulated
305,17.6898824133895,Upregulated
307,20.8566916568094,Upregulated
310,2.94111588408658,Upregulated
312,178.737374432888,Upregulated
314,0.461811588628817,Downregulated
315,210.069988065928,Upregulated
331,2,Upregulated
344,9.04975767188178,Upregulated
347,360.738248085931,Upregulated
352,4563.48382426161,Upregulated
359,8.22448087153681,Upregulated
360,8.94847000035153,Upregulated
361,15.3763478335084,Upregulated
363,16.3500782928059,Upregulated
376,43.0183077348693,Upregulated
377,5.74456287394734,Upregulated
380,0.171424866481364,Downregulated
381,0.202336068919846,Downregulated
384,0.0899333337758299,Downregulated
387,16.2095911957036,Upregulated
392,164.478536046668,Upregulated
393,163.988679411947,Upregulated
401,59.4576363250201,Upregulated
402,0.103032937036401,Downregulated
407,3.86019112523064,Upregulated
408,5.18985288889751,Upregulated
413,2.1979435011439,Upregulated
417,2.69414618921432,Upregulated
418,2.91884798951211,Upregulated
419,2.46181845108124,Upregulated
420,0.11900070683176,Downregulated
422,0.106762529362341,Downregulated
428,2.42903330514543,Upregulated
431,0.170101921003725,Downregulated
433,18.0114082868664,Upregulated
434,369.597363405058,Upregulated
435,8.31414574248853,Upregulated
439,9.69988984695205,Upregulated
443,0.5,Downregulated
444,3.99314652909526,Upregulated
448,0.0987687269179252,Downregulated
449,0.349801525448006,Downregulated
454,27.32297228522,Upregulated
455,5.38626817550964,Upregulated
456,33.8545255153232,Upregulated
457,5.34578886969894,Upregulated
458,33.6427145101444,Upregulated
459,5.90148943894256,Upregulated
460,31.6165418015789,Upregulated
461,3.66337730498614,Upregulated
462,31.7059942094941,Upregulated
463,5.75684480448313,Upregulated
464,6.3015505638826,Upregulated
465,33.4685929016014,Upregulated
466,6.30155014452199,Upregulated
467,30.9789766214449,Upregulated
468,6.30155036382222,Upregulated
469,5.34578880903411,Upregulated
470,0.0951192659367317,Downregulated
473,0.412177742361532,Downregulated
474,36.5982212473079,Upregulated
476,3.0775165350572,Upregulated
477,2.4184063194758,Upregulated
479,107.601140717467,Upregulated
480,90.1510392225684,Upregulated
481,47.7533345816462,Upregulated
482,104.042563177402,Upregulated
483,123.776097394044,Upregulated
485,772.87371027837,Upregulated
488,10.8541172689086,Upregulated
491,119.645203871587,Upregulated
494,47.1693844571743,Upregulated
495,1089.82773712597,Upregulated
496,604.776447674269,Upregulated
497,795.923802190407,Upregulated
498,1761.55215574314,Upregulated
499,71.5928469056031,Upregulated
500,400.978853456606,Upregulated
502,11.5814312126258,Upregulated
503,2033.81148076407,Upregulated
504,72.672526585288,Upregulated
505,102.104598253889,Upregulated
506,40.4647441465223,Upregulated
507,87.5341663469231,Upregulated
508,56.7587831553716,Upregulated
510,300.274126555412,Upregulated
512,30.1982550310778,Upregulated
513,31.7244832617315,Upregulated
514,2.30999115962582,Upregulated
515,0.289564488773784,Downregulated
517,10.6409439135147,Upregulated
519,8864.4329780468,Upregulated
520,4.20891893540749,Upregulated
524,59.6071264331398,Upregulated
526,6.23059128967385,Upregulated
528,32.579805704374,Upregulated
530,59.7349451032987,Upregulated
534,193.187626078363,Upregulated
535,7.33514966226926,Upregulated
536,184.253093631418,Upregulated
537,7.9941827861229,Upregulated
538,90.1103007678454,Upregulated
539,3554.71289550429,Upregulated
540,2301.28580905448,Upregulated
543,50.0606628915148,Upregulated
544,21.9878662006981,Upregulated
545,22.0155039663228,Upregulated
546,69.4644157021584,Upregulated
547,61.2441198183752,Upregulated
548,69.4644157021584,Upregulated
549,61.4176994189951,Upregulated
550,63.4212692523758,Upregulated
551,61.4176994189951,Upregulated
552,63.4212692523758,Upregulated
553,61.4176994189951,Upregulated
554,63.4212692523758,Upregulated
555,50.0606628915148,Upregulated
556,97.2040502585325,Upregulated
558,17.6749851046327,Upregulated
560,0.032627641609217,Downregulated
562,0.388747135867275,Downregulated
567,0.205920435572433,Downregulated
573,0.0367804619366264,Downregulated
575,0.0296454927390089,Downregulated
578,0.0499097943625367,Downregulated
581,0.395192711565316,Downregulated
586,3.31124803207246,Upregulated
587,0.223230161955515,Downregulated
589,0.349181330302903,Downregulated
594,3.70438237259973,Upregulated
595,6.94153487391211,Upregulated
596,0.442875232545083,Downregulated
602,0.0947571803333551,Downregulated
608,0.0625552336083856,Downregulated
613,0.2024177787176,Downregulated
614,0.0695741240706793,Downregulated
616,0.443796822680673,Downregulated
618,0.0443006711023887,Downregulated
619,0.14352795146598,Downregulated
623,4.68103490770553,Upregulated
630,11.0423642298264,Upregulated
631,183.754533577854,Upregulated
633,5.29769052546717,Upregulated
634,15.0948773147052,Upregulated
635,15.0948766786545,Upregulated
636,11.9486592584416,Upregulated
637,10.8209535074887,Upregulated
638,144.361802479373,Upregulated
642,0.0707355779674911,Downregulated
643,0.211004285960105,Downregulated
645,10.8209535074887,Upregulated
646,5.29769052546717,Upregulated
647,5.29769052546717,Upregulated
648,0.0853983133799133,Downregulated
651,0.0173102377736347,Downregulated
653,5.29769052546717,Upregulated
654,5.29769052546717,Upregulated
655,5.29769052546717,Upregulated
656,2.14432347277461,Upregulated
659,0.0173038776399742,Downregulated
666,105.949063699986,Upregulated
667,26.3220314099357,Upregulated
675,0.288873009442259,Downregulated
676,0.0227613079927504,Downregulated
677,6.34660682422436,Upregulated
682,92.1281390606748,Upregulated
683,64.6737829666997,Upregulated
685,91.3931698054939,Upregulated
688,2.2453890307459,Upregulated
697,0.174115449301238,Downregulated
700,177.455575490333,Upregulated
702,179.040101920314,Upregulated
703,0.132627258124721,Downregulated
705,2.45424290621877,Upregulated
706,5.38384488694883,Upregulated
707,152.411912488177,Upregulated
710,0.104406290302801,Downregulated
713,315.480523971863,Upregulated
720,12.8815235267601,Upregulated
724,9.66670258085966,Upregulated
725,6.95047783813993,Upregulated
730,1816.69716396468,Upregulated
731,0.336843933384024,Downregulated
732,75.4795587943149,Upregulated
733,75.4795427481298,Upregulated
734,5.1097518893735,Upregulated
737,32.6756560264305,Upregulated
738,177.451578528483,Upregulated
740,145.711550355969,Upregulated
741,181.299182844299,Upregulated
742,136.789454370661,Upregulated
743,498.038243586321,Upregulated
749,211.342484239663,Upregulated
750,93.4803580978659,Upregulated
753,0.101013389415939,Downregulated
754,14.8668843162051,Upregulated
760,0.0452703033890468,Downregulated
761,0.179645287013719,Downregulated
763,0.0274637432303254,Downregulated
766,15.4941372285765,Upregulated
767,40.9514816851517,Upregulated
770,0.183068320951894,Downregulated
772,0.0299551355054713,Downregulated
775,101.480942734427,Upregulated
777,0.183068258692223,Downregulated
778,0.183068303519182,Downregulated
779,0.36613659292617,Downregulated
785,0.0284135333518951,Downregulated
786,0.0385534314256955,Downregulated
791,5.58352828484302,Upregulated
801,2.13066159164893,Upregulated
802,15.5226133691134,Upregulated
803,16.2332063445044,Upregulated
804,9.77828302030132,Upregulated
805,55.686227036504,Upregulated
817,0.373938309922112,Downregulated
823,17.5699494350771,Upregulated
828,159.713858492794,Upregulated
829,100.903819503361,Upregulated
831,181.44583804947,Upregulated
836,5.20727545320613,Upregulated
837,5.22952564389459,Upregulated
838,0.225840243697658,Downregulated
839,0.254306099043489,Downregulated
842,6.36720518191049,Upregulated
844,85.9526109452814,Upregulated
845,10.5684890343593,Upregulated
846,39.9908324679106,Upregulated
847,46.1335144306324,Upregulated
854,5.3308049159147,Upregulated
856,11.811721239372,Upregulated
857,4052.41582167179,Upregulated
858,16.629328623423,Upregulated
864,0.0245214088032901,Downregulated
869,4.29302902732503,Upregulated
870,6.43954439544059,Upregulated
871,5.68115259150934,Upregulated
873,8389.23736824755,Upregulated
877,0.494032168023093,Downregulated
878,0.293421045668204,Downregulated
880,2.70854513452273,Upregulated
886,0.165715883386964,Downregulated
887,0.0119514266287786,Downregulated
888,0.0119512156838226,Downregulated
889,0.0532815253125808,Downregulated
891,7.89235521848161,Upregulated
892,7.55784789173528,Upregulated
893,6.7704197040527,Upregulated
894,6.82180843147773,Upregulated
895,4.83640768311891,Upregulated
896,11.9486592584416,Upregulated
897,10.8211393929071,Upregulated
898,10.8209536323607,Upregulated
899,6.10988875038546,Upregulated
900,4.61849164848225,Upregulated
901,4.61849296686022,Upregulated
902,9.44851353208773,Upregulated
903,13.3387540371559,Upregulated
904,15.0948825103624,Upregulated
905,15.0951381148651,Upregulated
906,11.948658877224,Upregulated
907,11.9486562540751,Upregulated
908,3.88982266348674,Upregulated
909,3.88989318861981,Upregulated
910,7199.32791656588,Upregulated
911,5762.06199030607,Upregulated
912,5257.03872124641,Upregulated
913,8065.98102697913,Upregulated
914,5.83441435988052,Upregulated
915,28.8832961869341,Upregulated
916,3.71732111202498,Upregulated
917,158.703728328704,Upregulated
920,90.7047207180212,Upregulated
921,39.7532467907194,Upregulated
922,190.01451958366,Upregulated
923,96.3479390360395,Upregulated
924,0.33433817886951,Downregulated
925,190.01451958366,Upregulated
933,0.0357866805619202,Downregulated
935,3.16789032263557,Upregulated
937,3.64430387467177,Upregulated
938,0.0132385800192031,Downregulated
945,5919.65598360988,Upregulated
951,0.0503229566008489,Downregulated
955,4.34578971253024,Upregulated
957,379.853538257179,Upregulated
958,281.926424541155,Upregulated
959,51.0593012921719,Upregulated
961,2.32807661108911,Upregulated
962,757.558318165248,Upregulated
963,18.1553895005163,Upregulated
966,574.645453705329,Upregulated
968,124.072924949944,Upregulated
971,0.404645459732767,Downregulated
972,40.7762834188859,Upregulated
973,8.52172548643819,Upregulated
975,118.710296496062,Upregulated
977,684.922850218047,Upregulated
981,3.66980536416971,Upregulated
984,0.411223894312777,Downregulated
991,0.0308754443444179,Downregulated
997,0.0664088132352006,Downregulated
999,29.4296180362016,Upregulated
1007,2.99171595112723,Upregulated
1017,0.281362360328672,Downregulated
1036,6.34909448191436,Upregulated
1037,33.6624710995624,Upregulated
1040,66.0453666060523,Upregulated
1041,67.4212321970718,Upregulated
1043,33.2583438421096,Upregulated
1045,10.7938895163835,Upregulated
1046,0.389003309299675,Downregulated
1048,0.456355725045271,Downregulated
1049,9.43384087310277,Upregulated
1050,16.4841177237494,Upregulated
1055,0.399329431601904,Downregulated
1062,20.7629310401514,Upregulated
1065,5.13335255966946,Upregulated
1066,108.608197509092,Upregulated
1073,2.43500461700256,Upregulated
1079,13.8981899473115,Upregulated
1082,5.93367993204027,Upregulated
1097,0.5,Downregulated
