Reaction,FSR,RegulationStatus
1,2.65668877098591,Upregulated
4,0.128604733695887,Downregulated
6,199.578913454805,Upregulated
8,4.84061238306786,Upregulated
9,3.43303705964041,Upregulated
11,2.03083431839131,Upregulated
12,0.145771132629779,Downregulated
18,0.11752716581633,Downregulated
21,5.07371688215362,Upregulated
23,2.47128284773844,Upregulated
24,16.2772394158801,Upregulated
25,5.26874564970829,Upregulated
28,4.86850781677351,Upregulated
30,0.479318094494026,Downregulated
32,5.17358157987273,Upregulated
34,2.21790056256193,Upregulated
36,4.93695828067128,Upregulated
37,8.47282904035219,Upregulated
38,56.5883675307006,Upregulated
39,54.1193580666909,Upregulated
41,0.140964422815003,Downregulated
44,0.3778987233978,Downregulated
45,0.105020492246725,Downregulated
49,7.29067907085534,Upregulated
50,2.12932691796672,Upregulated
52,45.1876591455342,Upregulated
54,9.69450310719539,Upregulated
55,10.5034316685933,Upregulated
60,3.80374463844528,Upregulated
61,5.46283206118585,Upregulated
64,7.64094983386895,Upregulated
65,7.60844367229731,Upregulated
66,14.6412190284094,Upregulated
67,27.6298295547134,Upregulated
69,26.4320959649794,Upregulated
74,0.193208287298263,Downregulated
76,5.42716422056282,Upregulated
78,5.57254711159964,Upregulated
82,0.205451363635181,Downregulated
92,7.08292986303279,Upregulated
97,17.9665920085507,Upregulated
99,5369.22848669079,Upregulated
100,329.821989157873,Upregulated
101,81.6028019852299,Upregulated
102,76.4251785740207,Upregulated
103,76.4251776252931,Upregulated
105,2.81311026949386,Upregulated
114,0.0256028894583743,Downregulated
125,90.6344631693618,Upregulated
132,8.67628108291426,Upregulated
133,18.0576107790555,Upregulated
135,33.7532593976645,Upregulated
136,6.29007335466987,Upregulated
141,10.1131863882717,Upregulated
142,2.89263050445626,Upregulated
145,6.46134447398204,Upregulated
148,31.589635108076,Upregulated
157,6.23361068340566,Upregulated
162,991.426166832112,Upregulated
189,7.9694723329362,Upregulated
190,7.96947258297597,Upregulated
191,8188.56444185437,Upregulated
192,13.8739375823361,Upregulated
193,6.43008699674797,Upregulated
195,0.0482245114447242,Downregulated
196,43.5174856358067,Upregulated
197,29.4317954708094,Upregulated
206,9.61392728088098,Upregulated
216,1662.05753621861,Upregulated
219,0.289098857703792,Downregulated
223,0.267635275556306,Downregulated
226,434.678808085823,Upregulated
229,56.4042537421914,Upregulated
231,8557.47004474061,Upregulated
232,1023.11663319733,Upregulated
234,144.323660209941,Upregulated
236,87.6091940068993,Upregulated
237,156.215727836725,Upregulated
238,171.456453076646,Upregulated
244,5437.20433890159,Upregulated
247,87.6092016942031,Upregulated
250,95.5993327236475,Upregulated
252,95.6717589493379,Upregulated
253,96.5979797003199,Upregulated
254,96.5979798824445,Upregulated
256,611.149604650687,Upregulated
266,0.118957308740936,Downregulated
268,0.470664354702865,Downregulated
269,0.115009032062869,Downregulated
277,0.475249516022126,Downregulated
280,0.170618831667029,Downregulated
295,0.131521641531778,Downregulated
296,0.23088309680201,Downregulated
298,0.0182141560836627,Downregulated
299,801.417633953498,Upregulated
305,23.4695060471048,Upregulated
307,27.7459767772011,Upregulated
310,3.8718515610938,Upregulated
312,237.747971165661,Upregulated
315,279.425126525277,Upregulated
331,2,Upregulated
344,11.8799870891299,Upregulated
347,479.897009824026,Upregulated
352,7848.77915895877,Upregulated
359,10.9229063942244,Upregulated
360,11.9040265482668,Upregulated
361,20.3906120109998,Upregulated
363,21.6886532482845,Upregulated
373,2.23322141758301,Upregulated
376,57.2114694701368,Upregulated
377,7.60981713413016,Upregulated
380,0.22674421375407,Downregulated
381,0.267635287845935,Downregulated
384,0.118957301733909,Downregulated
387,21.411023278575,Upregulated
390,2.22608779061065,Upregulated
392,217.914279410093,Upregulated
393,217.914322456937,Upregulated
395,2.14497763592315,Upregulated
397,0.0116254472989176,Downregulated
401,78.8724999546793,Upregulated
402,0.136284395408921,Downregulated
404,2.49523655325177,Upregulated
405,0.0129894155863649,Downregulated
407,5.12053348044384,Upregulated
408,6.87950688450421,Upregulated
413,2.88539925525839,Upregulated
415,2.360725930616,Upregulated
417,3.5635597798606,Upregulated
418,3.87185152237701,Upregulated
419,3.26560189221364,Upregulated
420,0.157405518007591,Downregulated
421,2.55889946708402,Upregulated
422,0.141217743032723,Downregulated
428,3.19771522956067,Upregulated
431,0.224994369588006,Downregulated
433,23.9606720448361,Upregulated
434,492.03432501439,Upregulated
435,11.0029646214217,Upregulated
439,12.8666124992533,Upregulated
443,0.5,Downregulated
444,5.28184285261843,Upregulated
448,0.131016713487449,Downregulated
449,0.462692391239041,Downregulated
454,35.9695341460358,Upregulated
455,7.07090290090645,Upregulated
456,44.5679904301478,Upregulated
457,7.07090303494683,Upregulated
458,44.7542691649304,Upregulated
459,7.62881933352004,Upregulated
460,41.621797202108,Upregulated
461,4.92369612061464,Upregulated
462,41.6218062348945,Upregulated
463,7.57877110846241,Upregulated
464,8.33509293754449,Upregulated
465,44.0599121607821,Upregulated
466,8.33509268060524,Upregulated
467,40.976055412985,Upregulated
468,8.33509298658057,Upregulated
469,7.07090285006355,Upregulated
470,0.125220377865324,Downregulated
474,48.4086555024128,Upregulated
476,4.07064621157469,Upregulated
477,2.43950004654494,Upregulated
479,121.816615848402,Upregulated
480,118.679843308904,Upregulated
481,83.4886260624898,Upregulated
482,136.969813377041,Upregulated
483,162.946527814801,Upregulated
485,1028.13702675765,Upregulated
486,200.817732995506,Upregulated
488,14.4361106073559,Upregulated
491,126.354116144152,Upregulated
494,63.897511735678,Upregulated
495,1449.78141722019,Upregulated
496,804.533802978255,Upregulated
497,804.534179197851,Upregulated
498,2343.40284563253,Upregulated
499,95.0724241384231,Upregulated
500,530.368355610187,Upregulated
502,24.7924943378048,Upregulated
503,2698.29992402252,Upregulated
504,95.6717719844682,Upregulated
505,137.844608999794,Upregulated
506,54.8142080261442,Upregulated
507,115.236908946925,Upregulated
508,113.988699589849,Upregulated
510,399.438990499635,Upregulated
512,52.5440486562002,Upregulated
513,56.1037966981311,Upregulated
514,3.97297496889609,Upregulated
517,18.8181889107022,Upregulated
519,11723.8202299421,Upregulated
520,5.52531164683804,Upregulated
521,2.53713886207292,Upregulated
523,2.30692021663677,Upregulated
524,79.2935052854248,Upregulated
525,2.25702399716501,Upregulated
526,10.6151307717143,Upregulated
528,42.7695971071109,Upregulated
530,79.0117183747586,Upregulated
534,257.808068648139,Upregulated
535,9.01360448025086,Upregulated
536,243.716743188585,Upregulated
537,10.5741170872913,Upregulated
538,119.194905205741,Upregulated
539,4728.79053418321,Upregulated
540,3060.55606876802,Upregulated
543,66.2170157095839,Upregulated
544,29.0834222610826,Upregulated
545,29.203058890875,Upregulated
546,91.1887661665295,Upregulated
547,81.2389141993622,Upregulated
548,91.1887661665295,Upregulated
549,81.2389121216842,Upregulated
550,84.1267918622947,Upregulated
551,81.2389121216842,Upregulated
552,84.1267918622947,Upregulated
553,81.2389121216842,Upregulated
554,84.1267918622947,Upregulated
555,66.2170157095839,Upregulated
556,127.968578508519,Upregulated
558,23.2690172167033,Upregulated
560,0.0428316333074081,Downregulated
562,0.295884614674414,Downregulated
567,0.271091043341324,Downregulated
573,0.0489283280731706,Downregulated
575,0.0392129271072946,Downregulated
578,0.066015943184368,Downregulated
586,4.34689321439919,Upregulated
587,0.296706988128279,Downregulated
589,0.461863951890402,Downregulated
594,4.89988916595131,Upregulated
595,9.18176290170531,Upregulated
597,0.0102277270474058,Downregulated
602,0.12533797571643,Downregulated
608,0.0827435830458656,Downregulated
613,0.268907666658291,Downregulated
614,0.0921069145933875,Downregulated
618,0.0589338598266841,Downregulated
619,0.188950423996854,Downregulated
623,6.20938974542853,Upregulated
630,14.6899563034499,Upregulated
631,241.904766317782,Upregulated
633,7.00740764633837,Upregulated
634,19.9664228163582,Upregulated
635,19.9664172828892,Upregulated
636,15.8048291575606,Upregulated
637,14.3131841616127,Upregulated
638,192.042167701618,Upregulated
642,0.0935622970701356,Downregulated
643,0.279101294541551,Downregulated
645,14.3131841616127,Upregulated
646,7.00740764633837,Upregulated
647,7.00740764633837,Upregulated
648,0.112958805593884,Downregulated
651,0.022896749432944,Downregulated
653,7.00740764633837,Upregulated
654,7.00740764633837,Upregulated
655,7.00740764633837,Upregulated
656,2.83635833899879,Upregulated
659,0.0228883367012016,Downregulated
666,140.943440653567,Upregulated
667,34.6518211076827,Upregulated
675,0.380288880069212,Downregulated
676,0.0299642820289295,Downregulated
677,8.39483526662968,Upregulated
682,121.858370544518,Upregulated
683,84.9015312669037,Upregulated
685,119.977705403702,Upregulated
688,2.98699805877472,Upregulated
697,0.230307117528724,Downregulated
699,2.33525045782104,Upregulated
700,236.066191978356,Upregulated
702,238.177408871603,Upregulated
705,3.23096297702437,Upregulated
706,7.16201774919657,Upregulated
707,202.255272519179,Upregulated
710,0.137050576108918,Downregulated
713,316.208370729815,Upregulated
720,16.9094189336015,Upregulated
724,12.8231972543099,Upregulated
725,9.22003626207059,Upregulated
730,2404.22230281442,Upregulated
731,0.448098028932897,Downregulated
732,100.409234569464,Upregulated
733,100.409213223483,Upregulated
734,6.75880979576201,Upregulated
737,43.9309874446367,Upregulated
738,233.612236843438,Upregulated
740,191.28510684629,Upregulated
741,238.672749502367,Upregulated
742,180.077381343067,Upregulated
743,661.130200800119,Upregulated
749,278.223478471182,Upregulated
750,323.209804612273,Upregulated
751,5.68859871183911,Upregulated
753,39.8173924349847,Upregulated
754,19.7503361477301,Upregulated
760,0.0598803324949772,Downregulated
761,0.237621988637695,Downregulated
763,0.0363270831665436,Downregulated
766,20.4945134442755,Upregulated
767,54.4784542528391,Upregulated
770,0.242149734091443,Downregulated
772,0.0396225193938883,Downregulated
775,134.998528688252,Upregulated
777,0.242149651738785,Downregulated
778,0.242149711032693,Downregulated
779,0.484299403398781,Downregulated
785,0.0375833333075442,Downregulated
786,0.0509956588316554,Downregulated
791,5.58352828484302,Upregulated
801,2.81823606413435,Upregulated
802,20.4349528394024,Upregulated
803,21.370685239973,Upregulated
804,12.8727081591008,Upregulated
805,73.3088160375663,Upregulated
817,0.494609938376946,Downregulated
823,23.3226488020161,Upregulated
828,211.535542709909,Upregulated
829,134.093343074969,Upregulated
831,240.926809166875,Upregulated
836,6.90745238650748,Upregulated
837,6.9369672708558,Upregulated
838,0.298724883565683,Downregulated
839,0.336308251563698,Downregulated
842,8.42193553784067,Upregulated
844,114.32643524084,Upregulated
845,13.8739371837307,Upregulated
846,53.0491477120084,Upregulated
847,61.1976163154014,Upregulated
854,7.05109374599851,Upregulated
856,15.5057270947984,Upregulated
858,21.8307252656457,Upregulated
864,0.0326202934437944,Downregulated
869,5.67851034120441,Upregulated
870,8.51776460690615,Upregulated
871,7.51448861788644,Upregulated
873,6773.99952812661,Upregulated
878,0.386275753683815,Downregulated
880,3.55573613585825,Upregulated
886,0.219197016676855,Downregulated
887,0.0158082081354239,Downregulated
888,0.0158082076301872,Downregulated
889,0.0704757351057056,Downregulated
891,10.4394395845548,Upregulated
892,9.99698283366836,Upregulated
