Reaction,FSR,RegulationStatus
1,0.376086054431723,Downregulated
2,0.193689801553483,Downregulated
4,0.0176485372490428,Downregulated
6,198.273388141292,Upregulated
9,0.475064926785654,Downregulated
11,0.276948279303672,Downregulated
12,0.0195924918796049,Downregulated
14,0.221377996995212,Downregulated
18,0.0161792663110417,Downregulated
19,0.121948669531778,Downregulated
22,0.122094906243103,Downregulated
23,0.33930917442914,Downregulated
24,2.19622164389879,Upregulated
26,0.272095483515603,Downregulated
30,0.0674308853408039,Downregulated
33,0.177717055161456,Downregulated
34,0.307312147165592,Downregulated
38,7.0314497062873,Upregulated
39,7.19161313897409,Upregulated
40,0.260439016821673,Downregulated
41,0.0201500044038185,Downregulated
42,0.219914442122067,Downregulated
44,0.0529276636667689,Downregulated
45,0.0146151847199985,Downregulated
50,0.339333141199656,Downregulated
52,11.1278133143919,Upregulated
55,2.5531989046712,Upregulated
56,0.164517080853238,Downregulated
66,2.07476911863489,Upregulated
67,3.93207983538623,Upregulated
69,3.63958853066292,Upregulated
71,0.21823774717452,Downregulated
74,0.0270618583069364,Downregulated
82,0.0498132250637371,Downregulated
88,0.0810427576703388,Downregulated
92,7.08292522665113,Upregulated
97,2.54599787612771,Upregulated
100,48.299133085211,Upregulated
101,8.73394827875523,Upregulated
102,7.97829902660514,Upregulated
103,7.97829983516615,Upregulated
105,0.402027499949317,Downregulated
125,994.267870595879,Upregulated
133,2.25883981000782,Upregulated
135,3.93097135269576,Upregulated
136,0.120016069518685,Downregulated
142,0.406238897740647,Downregulated
146,0.281092741894959,Downregulated
147,0.187395136004642,Downregulated
148,4.54131494266733,Upregulated
162,75.8189372897414,Upregulated
187,0.0816824994242824,Downregulated
191,3587.69900809845,Upregulated
196,6.24900390934319,Upregulated
197,4.16600208340634,Upregulated
206,3.9083608808505,Upregulated
216,49.9919235776739,Upregulated
219,0.0413869315583458,Downregulated
220,0.0962231279487715,Downregulated
221,0.095058188141792,Downregulated
222,0.201045847313574,Downregulated
223,0.0382127323800104,Downregulated
226,58.1253243417921,Upregulated
229,7.77714940170307,Upregulated
232,2245.9294052469,Upregulated
234,20.5391164051663,Upregulated
236,12.3095702785245,Upregulated
237,22.3466522309282,Upregulated
238,24.5544989327559,Upregulated
244,1470.3922330006,Upregulated
247,12.3234605186239,Upregulated
250,13.4296002740421,Upregulated
252,14.6029889698613,Upregulated
253,12.1944586263278,Upregulated
254,12.1944600691248,Upregulated
256,77.2680616783215,Upregulated
260,0.152582933235409,Downregulated
266,0.0167539189036134,Downregulated
268,0.0658799209275207,Downregulated
269,0.0161214396718702,Downregulated
277,0.470048551009103,Downregulated
280,0.0238152874930838,Downregulated
295,0.0183986586946245,Downregulated
296,0.0322490507842654,Downregulated
299,112.166273656383,Upregulated
305,3.18059897675752,Upregulated
307,3.34491617740599,Upregulated
314,0.0849148003352668,Downregulated
331,2,Upregulated
343,0.143617983377128,Downregulated
347,59.3044812622391,Upregulated
351,0.128226682383012,Downregulated
352,825.976333897082,Upregulated
361,2.62281190776781,Upregulated
363,2.76609413538941,Upregulated
373,0.313771970015871,Downregulated
374,0.266967582058872,Downregulated
376,6.24323789127593,Upregulated
378,0.109561320704431,Downregulated
380,0.0325501678625297,Downregulated
381,0.0382568157288937,Downregulated
382,4874.82930479749,Upregulated
383,4869.2112047295,Upregulated
384,0.0167350159613762,Downregulated
386,0.108908900494193,Downregulated
387,3.04517093581372,Upregulated
389,0.262783115372965,Downregulated
390,0.308853873399515,Downregulated
392,106.880967953174,Upregulated
393,106.880879298139,Upregulated
395,0.297965606729321,Downregulated
401,61.1846544326901,Upregulated
402,0.0194810215823818,Downregulated
404,0.350252573545743,Downregulated
413,0.395720912211332,Downregulated
414,0.276072783139224,Downregulated
415,0.327324911385324,Downregulated
417,0.498569568126682,Downregulated
419,0.457398851020229,Downregulated
420,0.0221689382518759,Downregulated
421,0.365779275982703,Downregulated
422,0.019932064493075,Downregulated
428,0.453353522804536,Downregulated
429,0.204206499081116,Downregulated
431,0.0321436991327188,Downregulated
433,2.37801209359613,Upregulated
434,6.81596902917,Upregulated
435,2.05428640852017,Upregulated
436,0.262728643598788,Downregulated
437,0.245103832988074,Downregulated
441,0.116147790300461,Downregulated
443,0.5,Downregulated
448,0.0183865790065152,Downregulated
449,0.0655669593063151,Downregulated
454,5.05097273234784,Upregulated
456,6.40605959127281,Upregulated
458,6.40605837304233,Upregulated
460,5.89812094780706,Upregulated
462,5.89811982082431,Upregulated
465,6.32654490640073,Upregulated
467,5.82491486129552,Upregulated
470,0.0177978188540921,Downregulated
472,0.146977539389721,Downregulated
473,0.0772574476115211,Downregulated
474,6.8598737928271,Upregulated
479,19.2087399224701,Upregulated
480,16.4166879525908,Upregulated
481,9.02000144597441,Upregulated
482,20.4748410429001,Upregulated
483,21.9976949936168,Upregulated
485,73.9757431773776,Upregulated
486,23.79998011998,Upregulated
491,17.327767611153,Upregulated
494,8.72428403097684,Upregulated
495,179.160427334682,Upregulated
496,101.78743765469,Upregulated
497,101.787451020318,Upregulated
498,317.871796914113,Upregulated
499,12.0745765449755,Upregulated
500,79.7437137527376,Upregulated
502,2.28233258254636,Upregulated
503,366.693185081136,Upregulated
504,14.6194682004726,Upregulated
505,18.7331239974323,Upregulated
506,7.48408475392718,Upregulated
507,15.9397902005986,Upregulated
508,9.95259596824252,Upregulated
510,54.051971541876,Upregulated
512,5.50870297668479,Upregulated
513,6.03044663746091,Upregulated
514,0.418109917430551,Downregulated
515,0.0548705486845126,Downregulated
517,2.01638800412401,Upregulated
519,352.632793791449,Upregulated
521,0.34680077713743,Downregulated
522,0.255822118655488,Downregulated
523,0.315332457180906,Downregulated
524,3.87521294346191,Upregulated
525,0.313001454546377,Downregulated
527,0.234444156013645,Downregulated
528,5.85330091853163,Upregulated
530,11.2685174276674,Upregulated
534,36.2314147224413,Upregulated
536,34.0969934509058,Upregulated
538,16.9547339103285,Upregulated
539,607.908508534362,Upregulated
540,333.984855038722,Upregulated
543,9.31898421749328,Upregulated
544,4.15250554621133,Upregulated
545,4.10319058163887,Upregulated
546,12.7640649913061,Upregulated
547,11.3656697930848,Upregulated
548,12.7640649913061,Upregulated
549,11.3656699030292,Upregulated
550,11.8212881016671,Upregulated
551,11.3656699030292,Upregulated
552,11.8212881016671,Upregulated
553,11.3656699030292,Upregulated
554,11.8212881016671,Upregulated
555,9.31898421749328,Upregulated
556,18.0946027716934,Upregulated
558,3.29400745624225,Upregulated
562,0.472932552577358,Downregulated
567,0.0364836702366869,Downregulated
579,0.210893657732561,Downregulated
581,0.0731649158414886,Downregulated
587,0.41029496529441,Downregulated
589,0.0647210764264019,Downregulated
592,0.266559325744738,Downregulated
596,0.0822966152962835,Downregulated
602,0.0175433847994771,Downregulated
608,0.0115509504639263,Downregulated
611,0.16224695250425,Downregulated
612,0.0956857437447162,Downregulated
613,0.0384345083212721,Downregulated
614,0.0137796268493451,Downregulated
616,0.0821594987140208,Downregulated
619,0.0267481923227767,Downregulated
624,0.0981211586716162,Downregulated
629,0.0965433123919317,Downregulated
631,33.5238924734723,Upregulated
632,266.940772880312,Upregulated
634,2.78563263434811,Upregulated
635,2.78563514040088,Upregulated
636,2.20831237560941,Upregulated
637,2.00096220957725,Upregulated
